Milk yield,MASC,Protein,LAKT,ANPRENOS_ID_SEQ,RCT,A30,Breed
14,3.45,3.1,4.52,65089583,2.39,35.07,Lisasta
6.4,4.51,4.14,4.22,65089534,1.22,40.85,Holstein
0,5.34,4.08,4.35,65124837,1.18,46.37,Lisasta
0,5.34,4.08,4.35,65124837,1.18,46.37,Lisasta
14.2,5.22,2.87,4.48,65119465,2.82,36.43,Holstein
12.3,4.55,3.16,4.89,65085525,1.83,40.58,Lisasta
6.4,4.25,3.71,4.27,65115280,2.48,36.13,Holstein
0,3.54,3.61,4.27,65125136,1.64,42,Lisasta
6.8,6.14,4.11,4.45,65119885,0.79,47.07,Holstein
16.9,4.21,3.38,4.45,65101149,2.99,34.57,Holstein
6.4,4.24,3.77,4.6,65116726,1.17,43.52,Lisasta
9.8,4.92,3.63,4.73,65116457,1.62,42.16,Holstein
0,4.11,3.64,4.32,65122214,1.52,42.4,Lisasta
13,3.93,3.09,4.65,65115102,1.68,43.86,Lisasta
11.4,4.45,3.84,4.32,65091243,0.41,44.89,Rjava
5.8,5.56,3.91,4.47,65111811,0.26,50.41,Rjava
12,3.44,3.41,4.59,65097290,1.15,43.56,Holstein
13.2,5.07,3.3,4.65,65088616,1.55,43.43,Lisasta
11.4,3.12,2.6,4.62,65097154,3.2,33.12,Holstein
5,3.73,3.4,4.66,65104659,0.47,49.19,Rjava
15.4,4.32,2.98,4.03,65116247,3.51,33.32,Holstein
0,4.18,3.43,4.27,65126384,1.81,40.54,Rjava
9.4,5.34,3.82,4.55,65116246,1.21,44.97,Holstein
15,2.75,3.4,4.65,65088842,2.19,38.54,Lisasta
7.6,5.11,3.73,4.53,65100991,0.62,45.33,Lisasta
10,5.12,3.67,4.53,65097423,0.44,47.48,Lisasta
17.6,3.62,3.18,4.56,65088472,2.58,36.32,Holstein
22,3.65,3.58,4.6,65091816,1.16,41.3,Holstein
23.4,3.83,3.71,4.71,65091817,1.01,41.38,Holstein
12.6,5.26,4.29,4.63,65101151,0.71,45.06,Holstein
9,3.32,3.38,4.63,65094117,1.66,39.14,Holstein
16.2,3.84,3.06,4.84,65101150,1.74,42.57,Holstein
3.4,5.13,5.32,4.12,65088278,0,47.4,Holstein
6.8,3.79,4.59,4.67,65105955,0,51.41,Lisasta
6.5,4.14,3.68,4.44,65088186,1.33,40.92,Rjava
10,3.78,4.22,4.61,65094253,1.52,36.41,Holstein
10.8,4.51,3.58,4.5,65090682,0.96,46.07,Holstein
2.7,5.87,4.46,4.09,65088166,2.21,35.68,Rjava
11.4,6.1,4.12,4.5,65105721,0.34,50.7,Lisasta
7.7,4.34,3.9,4.72,65085580,0.41,46.38,Lisasta
5.5,3.62,4.06,4.09,65111745,0.58,44.54,Lisasta
6.5,6.18,4.03,4.08,65085114,1.85,39.59,Lisasta
4.6,7.95,4.99,4.43,65093820,0,52.23,Holstein
8.6,3.07,3.93,4.67,65089937,1.21,39.1,Lisasta
10.4,4.53,3.33,4.7,65116937,2.67,36.01,Rjava
6,6.37,4.5,4.48,65111747,0,50.7,Holstein
9,3.06,3.95,4.83,65089560,1.5,37.03,Lisasta
7.2,3.69,3.37,4.63,65088986,2.59,33.9,Holstein
16.2,7.4,3.38,4.31,65119744,2.16,42.14,Rjava
15.2,3.68,3.45,4.56,65088513,0.94,45.44,Lisasta
12.4,4.86,3.62,4.63,65091116,1.09,43.34,Rjava
10.6,4.3,3.88,4.62,65100647,0.91,44.25,Rjava
4.2,4.25,3.62,4.79,65085532,1.47,41.48,Lisasta
10.8,4.53,3.37,4.42,65089798,2.05,37.3,Lisasta
0,4.4,3.36,4.45,65122522,1.83,42.38,Holstein
0,4.01,3.52,4.42,65125029,2.43,37.39,Holstein
0,3.07,2.9,4.69,65125028,3.01,36.84,Holstein
16,4.16,3.18,4.61,65092381,1.75,38.92,Rjava
11.2,2.99,3.49,4.43,65099331,1.6,39.32,Rjava
12.2,4.09,3.54,4.5,65107593,1.24,43.52,Lisasta
15.5,3.66,3.11,4.49,65089883,2.43,32.42,Rjava
11.2,4.62,3.57,4.54,65088494,1.22,44.73,Holstein
9.9,4.07,3.38,4.3,65091295,1.88,35.45,Lisasta
5.1,6.09,3.52,4.5,65104784,2.08,39.79,Holstein
8.2,5.42,4.2,4.6,65093554,0.29,45.54,Rjava
9.5,2.86,2.79,4.71,65096827,2.11,39.95,Holstein
7.7,4.48,3.92,4.73,65111883,1.16,46.19,Holstein
0,4.67,3.59,4.6,65125576,1.91,39.31,Rjava
11.3,4.51,3.98,4.45,65085910,0,49.21,Holstein
10.6,5.05,4.01,4.87,65116274,0.95,46.22,Holstein
14.2,3.74,3.56,4.78,65096868,0.48,46.7,Lisasta
4,4.44,3.39,4.56,65088633,2.19,37.86,Lisasta
6.5,5.28,3.18,4.48,65088634,2.25,39.05,Lisasta
6.2,4.84,3.88,4.29,65091784,0.77,41.28,Rjava
0,4.92,4.08,3.96,65124807,1.59,41.94,Holstein
0,3.4,3.53,4,65124808,1.27,44.24,Holstein
18,3.72,3.33,4.76,65104457,1.91,40.84,Lisasta
8.4,4.91,3.71,4.25,65090976,1.49,38.64,Holstein
10,4.28,3.19,3.99,65090975,2.89,33.85,Holstein
10,3.66,2.73,4.66,65091008,2.24,37.9,Holstein
7,3.95,3.21,4.02,65092418,2.65,31.88,Holstein
10.4,5.14,3.93,4.36,65089958,1.01,40.71,Lisasta
25.6,7.44,3.02,4.32,65105337,2.77,40.91,Holstein
10.4,3.46,2.85,4.66,65107782,1.52,43.67,Holstein
6.2,4.14,4.23,4.42,65102254,2.19,37.37,Rjava
10.4,4.39,3.35,4.48,65102255,1.84,40.7,Rjava
7.5,3.92,3.77,3.59,65102256,5.7,17.54,Rjava
13,5.25,3.67,4.28,65104704,1.95,39.69,Rjava
3.5,4.83,4.99,4.63,65110644,0,54.67,Holstein
2.4,6.13,4.58,4.41,65085336,0.36,46.72,Holstein
12.2,4.25,3.79,4.43,65104802,1.7,41.7,Holstein
18.7,4.04,3.01,4.33,65089453,2.49,37.78,Holstein
15,3.84,3.49,4.12,65097291,1.72,40.11,Holstein
12,4.83,3.83,4.37,65116826,0.51,48.96,Rjava
15,4.15,3.42,4.71,65093728,1.85,41.4,Holstein
18,4.34,3.34,4.44,65104254,2.55,36.96,Holstein
7.2,5.42,3.56,4.44,65110621,0.79,48.69,Holstein
21,5.66,3.03,4.54,65107439,2.26,40.65,Holstein
4.8,3.4,2.7,4.64,65110582,3.01,35.38,Lisasta
8.2,3.72,3.39,4.27,65119722,1.79,40.65,Holstein
0,3.63,3.11,4.79,65125528,1.06,46.4,Lisasta
5.6,6.14,3.29,4.64,65104444,1.04,45.87,Lisasta
12.6,4.97,4.29,4.09,65119524,1.59,38.2,Holstein
8.5,5.17,4.38,4.52,65089286,0.7,42.53,Lisasta
3,5.44,4.61,4.43,65107812,0,53.54,Lisasta
14.6,3.07,2.9,4.44,65097637,2.59,34.08,Holstein
0,3.83,3.28,4.55,65122392,2.52,37.2,Rjava
0,3.67,3.63,4.38,65125811,1.61,40.81,Rjava
0,4.32,3.67,4.54,65125810,1.39,45.09,Rjava
0,4.51,3.73,4.8,65122674,0.92,45.07,Lisasta
6.4,5.73,4.29,4.37,65110921,0,51.42,Rjava
13,2.97,3.79,4.2,65119887,2.34,36.85,Holstein
12.5,3.41,2.94,4.35,65119437,3.36,34.77,Holstein
0,3.76,3.38,4.66,65126409,1.24,46.12,Lisasta
0,3.44,2.8,4.57,65125274,2.3,39.5,Lisasta
8,5.33,4.08,4.78,65115771,0.08,51.98,Lisasta
16.2,3.87,2.92,4.77,65089906,2.34,36.11,Holstein
0,5.33,3.86,3.85,65125809,1.82,40.08,Rjava
0,4.13,3.63,4.74,65120348,1.08,43.33,Holstein
0,4.72,4.46,4.37,65125598,1.45,39.95,Rjava
0,4.64,4.29,4.4,65126089,1,45.49,Lisasta
4.2,3.04,3.35,3,65091429,6.86,5.9,Lisasta
6.2,3.89,3.36,4.62,65096758,1.23,43.54,Lisasta
9.2,4.55,3.47,4.81,65091090,1.46,39.41,Holstein
5,4.73,4.69,4.47,65117231,0,52.39,Lisasta
13,4.17,3.25,4.36,65090974,1.91,38.76,Holstein
4.7,4.55,4.27,4.14,65110753,1.4,40.91,Holstein
17,3.64,3.44,4.59,65094284,0.64,46.32,Lisasta
5,4.76,3.6,4.69,65110982,0.54,48.53,Lisasta
7,5.31,4.58,4.41,65099347,0,48.87,Rjava
23,2.49,3.64,4.93,65090774,1.88,35.82,Holstein
4.7,4.93,4.62,4.67,65102372,0,52.13,Lisasta
8,4.28,3.57,4.8,65111939,0.73,48.92,Lisasta
14,4.73,3.84,4.21,65099676,1.31,41.16,Holstein
12,3.7,3.03,4.62,65112190,1.79,42.74,Lisasta
0,6.01,3.49,4.6,65122367,1.13,47.17,Lisasta
4,4.9,4.36,4.29,65088985,0.62,44.29,Holstein
15.2,2.99,3.77,4.1,65091847,1.69,38.65,Holstein
0,5.16,3.86,4.87,65122624,0.54,50.88,Lisasta
5.4,4.18,3.68,4.34,65092417,1.2,40.82,Lisasta
6.2,5.18,3.72,4.69,65111884,0.7,49.25,Lisasta
7,5.23,3.48,4.47,65120454,1.48,44.55,Lisasta
7.8,3.98,3.32,4.55,65089611,2.49,32.68,Lisasta
8,4.33,3.45,4.64,65088183,1.64,41.76,Rjava
7,4.26,4.04,4.72,65115407,0.17,49.98,Lisasta
8.5,3.68,3.29,4.78,65089329,2.08,37.71,Lisasta
8.6,4.33,3.06,4.66,65121928,2.78,38.59,Lisasta
0,5.03,3.82,4.58,65125306,0.94,46.56,Lisasta
0,3.79,4.04,4.11,65126025,0.96,43.93,Rjava
5.8,4.64,3.48,4.59,65096760,1.81,41.78,Lisasta
4.4,4.71,3.21,4.56,65096759,2.1,39.23,Lisasta
22,3.62,2.94,4.67,65094120,2.14,38.6,Holstein
13.3,4.43,3.6,4.33,65085541,1.26,43.51,Lisasta
10.6,3.99,3.56,4.57,65120227,0.96,44.88,Lisasta
5.1,5.15,4.05,4.48,65120228,0,50.79,Lisasta
6.4,5.01,3.85,4.35,65097218,0.69,44.63,Rjava
9.2,4.21,3.26,4.47,65091592,1.61,40,Lisasta
12,3.08,2.86,4.76,65122099,2.95,37.29,Lisasta
8.8,4.33,3.51,4.2,65091799,1.44,38.66,Lisasta
9.4,4.06,3.6,4.79,65085151,1.47,42.37,Lisasta
8.5,4.89,4.28,4.64,65092269,0.85,41.58,Rjava
6.6,3.15,3.58,4.46,65089208,0.48,46.08,Lisasta
9,3.64,2.78,4.45,65091272,2.97,31.08,Lisasta
8.1,4.78,3.36,4.58,65091334,2,38.19,Holstein
12.5,3.16,3.16,4.86,65104228,2.16,38.53,Lisasta
4.9,4.15,3.7,4.35,65085416,1.81,37.83,Holstein
16.6,4.12,3.57,4.61,65085304,1.31,44.07,Holstein
12.5,3.41,2.88,3.91,65091260,3.11,32.21,Holstein
12.6,4.9,4.18,4.68,65085705,0.57,47.27,Holstein
12.4,3.1,2.77,4.61,65085706,2.35,38.6,Holstein
8,2.8,2.98,4.82,65085191,1.58,42.31,Rjava
7,5,4.08,4.48,65088054,0.4,48.42,Holstein
14.2,5.3,3.85,4.55,65088053,1.5,43.42,Holstein
12,5.07,4.32,4.46,65102332,0.87,47.17,Holstein
11.5,4.39,4.3,4.57,65116894,0.64,47.08,Lisasta
7.2,3.96,4.15,4.21,65105764,0.9,43.92,Holstein
16,4.3,3.78,4.54,65105763,0.95,44.93,Holstein
5.3,5.69,3.81,4.75,65094110,1.28,43.27,Lisasta
6.4,5.47,4.22,4.43,65113028,0.44,47.94,Lisasta
10.9,4.59,3.83,4.44,65093821,1.18,41.81,Holstein
10,4.4,3.1,4.47,65122100,2.5,39.61,Lisasta
10,4.19,3.16,4.28,65085417,2.25,38.71,Holstein
11,5.97,4.32,4.55,65116948,0.26,50.07,Holstein
11.4,5.51,4.19,4.25,65107690,0.28,47.49,Lisasta
0,3.62,3.33,4.5,65126303,1.6,43.57,Lisasta
3.8,5.26,3.59,4.58,65100657,1.09,43.09,Rjava
4,4.33,4.17,4.03,65115645,1.71,37.35,Rjava
14.2,4.3,3.89,4.37,65085210,1.14,43.89,Holstein
9,3.98,3.38,4.57,65105383,2.1,38.12,Lisasta
0,5.23,2.57,4.58,65126185,3.79,30.22,Holstein
11.2,5.13,4.13,4.59,65091037,0,51.05,Rjava
17.6,3.42,3.55,4.3,65110754,2.2,38.5,Holstein
6,4.45,3.17,4.36,65088380,2.27,37.21,Holstein
3.4,5.12,4.55,3.66,65104629,2.01,37.14,Holstein
11.6,4.41,3.23,4.64,65088381,2.1,37.83,Rjava
4.8,3.93,4.34,4.32,65100668,1.26,38.14,Holstein
9.4,4.22,4.26,4.67,65115460,0.15,47.02,Rjava
9,3.63,4.39,4.57,65110752,0,49.86,Holstein
15.6,4.74,4.02,4.58,65091706,0.04,47.23,Holstein
9.6,3.92,3.25,4.75,65105565,1.72,43.02,Lisasta
6.5,4.33,3.48,4.36,65115501,2.84,35.33,Holstein
0,5.82,4.24,4.24,65124657,1.79,39.67,Holstein
0,3.33,3.11,4.54,65124656,2.09,40.47,Holstein
0,4.21,4.02,4.6,65124655,1.33,42.11,Holstein
6.7,5.9,4.74,5.02,65093735,0,49.4,Holstein
8.8,4.44,4.27,4.17,65120027,1.54,40.89,Holstein
6.8,5.15,3.99,4.61,65120028,0.85,45.79,Holstein
12.7,4.48,3.65,4.71,65116318,1.28,45.04,Rjava
11.4,3.94,3.56,4.39,65119373,1.35,43.88,Lisasta
8.1,4.75,3.42,4.47,65121916,1.98,42.5,Lisasta
0,5.91,3.53,4.65,65125813,0.91,49.26,Rjava
0,5.14,4.44,4.44,65125812,0,61.23,Rjava
13.2,3.6,3.24,4.85,65097425,1.14,43.76,Lisasta
10,8.06,3.63,4.34,65115160,0,59.13,Lisasta
6.3,4.27,4.05,3.86,65116384,2.86,30.87,Lisasta
3,5.2,3.89,4.1,65106344,1.26,42,Lisasta
9.2,6.97,4.34,4.74,65110064,0,57.79,Lisasta
0,3.79,3.37,4.77,65122551,1.54,41.71,Rjava
0,4.7,3.53,4.59,65089655,1.79,39.38,Lisasta
0,5.1,3.68,4.78,65124809,1.94,42.42,Holstein
0,4.41,3.47,4.64,65122549,2.53,37.3,Holstein
14.5,3.32,3.1,4.87,65096872,0.38,49.04,Lisasta
7,4.49,3.45,4.64,65085334,1.54,44.35,Holstein
10,4.25,4.27,4.17,65116298,0.78,45.44,Rjava
5,2.83,3.19,4.63,65105614,3.41,29.67,Lisasta
9.6,2.97,3.73,4.28,65111746,0.42,48.7,Lisasta
0,4.34,3.93,4.65,65122393,0.63,47.76,Rjava
0,5.24,4.19,4.53,65122395,0.17,51.95,Rjava
28.5,5.43,4.13,4.39,65119525,0.72,47.52,Holstein
0,5.21,3.27,4.42,65126035,1.81,42.58,Rjava
7.4,4.5,4.24,4.18,65122021,0.88,46.05,Holstein
12.8,4.3,3.9,4.64,65116995,0.53,48.8,Holstein
6,7.09,4.36,4.14,65116994,0.35,51.9,Holstein
4.6,5.29,2.36,4.46,65088570,2.05,38.41,Lisasta
8.9,3.53,3.25,4.8,65107329,2.33,35.62,Lisasta
13,4.47,3.1,4.89,65094359,1.8,40.98,Lisasta
8.5,4.96,3.7,4.44,65088718,1.5,41.67,Holstein
8.8,3.79,3.28,4.51,65087789,2,38.81,Lisasta
0,5.18,4.15,4.51,65122550,0.53,48.17,Holstein
13.3,5.39,3.4,4.78,65091879,0.19,47.52,Rjava
4.3,4.27,3.48,4.57,65116740,1.86,42.64,Lisasta
32.8,3.31,3.26,4.59,65090775,2,35.92,Holstein
6.4,4.62,4.22,4.91,65101199,0,47.73,Holstein
10.9,4.61,3.88,4.36,65101198,1.25,43,Holstein
9.8,3.91,3.48,4.64,65091431,1.68,38.6,Lisasta
11.4,3.19,3.2,4.8,65093568,1.43,38.83,Rjava
6.8,4.67,3.03,4.55,65115978,2.45,39.81,Holstein
0,1.76,3.46,4.99,65125577,0.92,45.76,Rjava
10.8,4.34,3.88,4.09,65094118,1.87,35.78,Holstein
8.2,4.68,4.72,4.13,65104445,0,63.09,Lisasta
5.4,4.89,3.89,4.42,65085439,0.92,42.44,Holstein
0,5.03,3.99,4.62,65126348,0.99,47.19,Holstein
4.1,5.12,3.88,4.48,65105407,0.74,50.27,Lisasta
9.3,4.39,3.1,4.49,65107258,2.62,36.52,Holstein
9.6,8.52,3.42,4.08,65099378,2.13,45.55,Lisasta
7,3.94,3.63,4.51,65117129,2.23,37.82,Lisasta
5,4.66,3.93,4.48,65085581,1.59,39.53,Lisasta
7.7,4.71,3.13,4.55,65085877,3.28,31.84,Lisasta
6.9,5.28,3.47,3.95,65102442,2.8,37.65,Holstein
5.2,4.97,4,4.6,65100589,0.7,45.39,Lisasta
4,5.64,4.56,4.41,65105672,0.36,48.92,Holstein
7.1,4.53,3.87,4.45,65106388,1.72,38.63,Lisasta
15.3,2.78,3.45,4.6,65115646,1.39,42.48,Rjava
6.6,5.39,3.85,4.7,65085335,0.65,46.29,Rjava
0,4.21,3.84,3.9,65126026,2.49,35.35,Rjava
8.2,5.57,4.25,4.36,65104907,0.84,46.14,Holstein
11.8,3.99,3.28,4.71,65116332,1.11,47.22,Lisasta
14,4.96,3.98,4.72,65088843,0.58,50.66,Lisasta
7.8,5.41,3.96,4.47,65088279,0.83,47.04,Holstein
2.8,3.71,4.63,3.98,65091117,1.46,34.48,Holstein
9.6,4.88,4.03,4.43,65115933,0,49.75,Holstein
0,3.87,3.54,4.23,65125497,1.28,43.59,Lisasta
18.8,3.66,2.82,4.67,65092255,1.21,42.86,Lisasta
6.8,4.37,3.99,4.33,65092380,1.43,36.09,Rjava
9.8,3.12,3.22,4.87,65105956,1.75,41.89,Lisasta
12.6,5.58,3.89,4.58,65088055,1.39,44.51,Holstein
5.8,4.72,3.67,4.19,65111748,0.85,46.51,Holstein
0,5.27,3.38,4.86,65125232,1.4,45.41,Lisasta
0,4.03,4.08,4.34,65122180,1.25,42.54,Lisasta
7.4,5.83,4.06,4.49,65115127,0.54,50.55,Holstein
6,5.82,4.28,4.52,65115161,0,49.83,Lisasta
6.6,4.88,4.46,3.61,65088775,0.78,41.71,Holstein
11.5,4.54,3.14,4.5,65091566,2.39,37.23,Lisasta
17.9,5.66,3.05,4.54,65093937,3.33,31.62,Holstein
13.6,3.9,3.42,4.58,65091009,1.82,38.2,Holstein
8.4,1.8,4.02,4.7,65089938,0,47.38,Lisasta
18.7,4.02,3.36,4.43,65104511,2.18,38.23,Holstein
16.7,5.14,3.57,4.24,65104512,3.15,30.12,Holstein
19.2,4.02,3.14,4.76,65094064,1.91,39.81,Holstein
17.1,3.61,3,4.86,65094066,1.79,38.95,Holstein
12.9,4.23,3.64,4.53,65090716,1.05,41.79,Lisasta
10.6,4.23,2.82,4.83,65088453,2.47,37.36,Rjava
0,3.61,2.36,4.57,65125919,3.08,37.62,Holstein
6.2,4.96,4.03,4.51,65099332,0.02,50.82,Rjava
7.8,6.33,4.78,4.68,65105831,0,52.07,Lisasta
13.2,3.78,3.38,4.74,65085305,1.89,40.09,Holstein
6.3,4.28,3.61,4.89,65088448,0.86,45.23,Rjava
14.2,4.57,3.34,4.49,65115647,0.71,47.32,Rjava
9.8,4.11,3.89,4.39,65115648,1.82,39.36,Rjava
10.3,4.09,3.65,4,65100695,2.25,33.44,Holstein
11.4,3.8,3.26,4.51,65092223,2.28,37.35,Holstein
15,3.57,2.93,4.72,65105765,1.79,40.26,Lisasta
5.8,4.08,3.34,4.29,65096851,1.45,43.4,Rjava
8.6,3.79,3.86,4.19,65110503,2.35,36.01,Rjava
13,5.4,3.42,4.55,65105674,1.46,45.48,Holstein
6.9,4.54,3.58,4.67,65089330,1.38,40.69,Lisasta
8.6,3.78,3.23,4.74,65097203,1.55,42.65,Lisasta
4.2,7.02,4.71,4.53,65102503,0,57.43,Lisasta
0,2.25,2.43,4.25,65124420,2.78,40.19,Holstein
6.5,5.59,3.54,4.43,65110983,1.48,44.61,Lisasta
7,4.71,3.86,4.71,65104630,0.4,50.14,Holstein
13.1,3.04,3.01,4.6,65091335,2.33,34.54,Lisasta
9.5,5.11,3.82,4.25,65089885,1.28,41.91,Holstein
15.6,3.27,3.58,4.56,65089393,0,52.76,Lisasta
13.2,3.52,3.9,4.59,65104803,0.01,50.1,Lisasta
0,5.34,4.19,4.48,65124772,1.18,45.86,Rjava
0,4,3.77,4.54,65104285,1.87,37.16,Lisasta
0,4.2,3.46,4.64,65104284,0.99,45.97,Lisasta
4.3,3.81,3.01,4.36,65112247,2.65,38.31,Lisasta
5,3.97,3.24,4.66,65110583,1.82,39.51,Lisasta
9,3.36,3.24,4.72,65093531,1.52,41.27,Lisasta
15.8,4.06,3.9,4.66,65107521,0.74,47.44,Lisasta
5.7,4.34,3.83,4.53,65087970,1.31,42.65,Lisasta
10,5.71,4.2,4.47,65112131,0.81,47.44,Holstein
6.6,6.24,4.54,4.32,65093730,1.24,41.28,Holstein
8.4,4.48,3.43,4.59,65093731,1.64,42.06,Holstein
0,5.59,3.95,4.43,65124566,1.23,45.73,Lisasta
7.4,4.64,3.99,4.59,65110995,0.16,48.91,Lisasta
9.2,5.61,4.3,3.9,65110994,1.85,35.85,Lisasta
12,4.7,3.17,4.64,65116428,1.52,44.4,Holstein
18.3,4.27,2.94,4.37,65115783,2.78,35.89,Holstein
20.4,6.44,3.37,4.12,65091432,1.49,40.43,Holstein
8.8,5.48,4.83,4.21,65085462,0,51.12,Lisasta
17.8,3.21,3.28,4.64,65120175,2.13,39.32,Rjava
19.1,3.49,2.86,4.99,65120173,1.33,44.11,Rjava
18.8,4.48,3.72,4.55,65120174,0,53.69,Rjava
13,5.09,4.18,4.34,65115926,1.27,42.9,Holstein
7,4.25,2.96,4.85,65107755,2.93,34.05,Lisasta
9.4,3.74,2.87,4.48,65097638,3.33,32.12,Holstein
7.8,4.72,3.85,4.52,65099333,0.19,48.46,Rjava
5,4.77,3.85,4.37,65119848,1.75,40.09,Lisasta
7,5.22,4.28,4.76,65119893,0.23,49.37,Holstein
19.2,3.08,3.63,4.59,65116834,0.75,48.05,Rjava
18.2,3.15,2.78,4.84,65116835,2.36,40.24,Rjava
15,3.66,3.25,4.64,65088649,1.47,41.77,Holstein
26.9,2.82,3.13,4.32,65105201,2.99,32.25,Holstein
0,4.54,3.65,4.57,65125686,0.9,47.3,Holstein
0,3.92,3.68,4.91,65125030,1.7,42.24,Holstein
0,3.85,3.25,4.56,65126251,2.38,40.35,Lisasta
0,4.76,3.45,4.59,65126252,2.66,39.19,Lisasta
0,5.06,3.63,4.51,65126036,0.03,51.74,Rjava
0,4.13,4.22,4.52,65125884,0.42,50.96,Holstein
9.5,4.13,3.65,3.94,65116225,2.65,35.86,Lisasta
8.5,3.59,3.1,4.67,65116344,2.25,39.4,Lisasta
0,3.88,3.3,4.37,65126214,1.84,43.51,Holstein
6.1,5.22,3.71,4.77,65116949,1.66,43.14,Holstein
0,4.18,3.06,4.68,65089656,1.63,41.25,Lisasta
14.8,4.35,3.48,4.56,65087881,1.95,39.63,Holstein
10.3,2.51,3.31,3.92,65115932,3.88,29.55,Holstein
0,4.31,3.41,4.89,65122394,1.33,43.1,Rjava
0,4.47,3.77,4.46,65124439,1.32,42.32,Holstein
0,4.91,4,4.67,65124879,0.36,50.83,Holstein
10.8,4.67,3.07,4.61,65116790,2.18,40.69,Lisasta
0,3.49,3.24,4.6,65125103,3.09,32.11,Lisasta
0,4.71,3.99,4.56,65125102,1.06,43.68,Lisasta
18.3,3.49,3.25,5.06,65090683,0.13,48.56,Holstein
19.3,5.68,4.26,4.43,65090776,0.72,42.5,Holstein
31.5,4.36,3.76,4.57,65090777,1.91,35.3,Holstein
6.7,3.93,3.36,4.67,65087810,1.17,43.42,Lisasta
0,5.02,4.04,4.52,65124912,0.88,45.82,Holstein
9.4,4.48,3.54,4.76,65088184,1.38,44.67,Rjava
6.8,4.41,3.49,4.72,65088185,2.32,39.67,Rjava
7.7,4.97,3.95,4.06,65091579,0.63,46.2,Lisasta
7.5,4.79,3.94,4.27,65107740,1.64,40.84,Rjava
12.5,3.44,3.3,4.49,65107873,2.45,36.26,Holstein
4,4.4,3.96,4.11,65089584,1.1,40.12,Lisasta
10.3,3.87,3.48,4.48,65117190,1.03,45.23,Lisasta
19.4,4.72,3.14,4.9,65085707,1.14,45.57,Holstein
14,4.99,3.74,4.4,65089535,1.2,42.91,Holstein
6.2,5.41,4.13,4.72,65091477,0,51.11,Lisasta
11.1,4.93,2.89,4.37,65115368,2.64,38.64,Holstein
6.8,3.72,3.45,4.76,65115369,1.48,43.34,Lisasta
5.4,3.05,4.12,4.49,65097399,0,46.76,Rjava
4,4.98,4.44,4.57,65097398,0,50.12,Rjava
4.6,4.54,3.97,4.34,65089235,1.85,37.49,Holstein
11.2,3.63,3.63,4.71,65088845,1.11,43.49,Lisasta
12,3.99,3.67,4.68,65088844,1.14,43.03,Lisasta
9,2.99,3.35,4.45,65115104,1.99,40.5,Holstein
14.8,4.3,3.38,4.56,65085152,1.28,43.27,Lisasta
5.8,3.34,3.68,4.6,65087972,1.35,41.28,Lisasta
11.8,3.27,3.2,4.73,65116977,1.71,40.82,Lisasta
16.5,4.16,3.31,4.58,65112133,1.94,40.21,Holstein
8,4.57,4.02,3.73,65112132,2.67,33.46,Holstein
8.8,3.75,3.83,4.37,65088473,2.21,35,Holstein
10.7,5.53,3.98,4.71,65101972,0.92,45.24,Lisasta
0,4.06,4.69,4.35,65125001,0.53,45.69,Lisasta
6,4.97,3.72,4.23,65085306,1.6,37.9,Holstein
13.5,3.81,2.8,4.59,65085243,3.02,33.65,Holstein
14.1,4,3.63,4.58,65092352,1.4,41.73,Rjava
3,4.89,4.11,4.39,65091880,0.62,43.16,Rjava
3.6,5.46,4.78,4.65,65091881,0,48.72,Rjava
4,4.08,3.8,4.65,65097493,0.41,43.37,Rjava
11,5.05,3.81,4.23,65091911,1.26,42.02,Holstein
6.3,3.75,3.79,4.31,65091369,1.47,37.3,Lisasta
0,3.83,3.17,4.95,65120413,1.52,45.37,Holstein
10.2,4.17,3.32,4.52,65093532,2.07,38.02,Lisasta
7.4,4.18,3.3,4.45,65107888,1.95,39.36,Lisasta
15.4,3.5,2.93,4.66,65091929,1.87,38.5,Holstein
5.2,5.68,4.6,4.52,65088798,0.3,46.78,Lisasta
13.5,4.4,3.64,4.26,65090913,2.88,29.55,Lisasta
8,4.86,3.4,4.74,65120435,1.55,43.9,Lisasta
0,3.46,3.45,4.71,65125031,1.91,40.44,Holstein
7.5,3.35,4.05,4.5,65092332,0.85,43.31,Lisasta
7,3.65,4.42,3.93,65110654,1.65,35.61,Rjava
9.9,4.62,3.88,4.19,65100658,1.52,38.72,Holstein
12,3.23,3.81,4.51,65105830,0.79,46.68,Lisasta
30,3.55,2.66,4.53,65100629,2.5,37.27,Lisasta
9.5,5.1,4.59,4.4,65107260,0.46,46.68,Rjava
9.2,5.04,3.7,4.36,65107296,2.13,39.05,Holstein
8,5.83,4.05,4.44,65090977,0,49.82,Holstein
0,3.83,3.95,4.8,65126254,0.35,48.96,Lisasta
10.4,4.75,3.67,4.36,65105673,2.33,38.07,Holstein
15,4.07,3.93,4.89,65104458,0,52,Lisasta
5.1,4.65,3.75,4.43,65105408,1.14,42.02,Lisasta
13.9,5.58,4.26,4.5,65105338,0.51,49.58,Holstein
6.2,6.43,4.26,4.31,65105722,0.99,47.63,Holstein
0,7.11,3.69,4.7,65124597,2.07,43.67,Holstein
17.5,3.04,3.52,4.85,65093986,0.41,47.36,Holstein
6.6,4.84,4.59,3.99,65085664,0.98,40.66,Lisasta
30.6,4.34,3.57,4.78,65089695,0.91,42.63,Holstein
