SEKVENCA,SIFRA,ZAPISNIK,DATUM_ZAP,ZAP_ST,DRZ_KRAVE,ST_KRAVE,KG_MLEKA,MASC,BELJ,LAKT,SS,NSS,CELICE,DAT_ANA,CAS_ANA,UREA,ANPRENOS_ID_SEQ,METODA,CAS_KON,VRSTICA,JE_SEQ,ZMRZISCE,AND_ID_SEQ,BHB,ACETON,OPOMBA,RCT,A30,PASMA,LETOROJ,MLEKOPV,BELJKGPV,MASCKGPV,BELJODSPV,MASCODSPV,ZAPTEL,DATTEL,Dat_Analiza,Dat_tel,DIM
3337787,11736,556319,2017-12-04,2,SI,73998554,8.6,4.33,3.06,4.66,8.43,0,583,2017-12-07,NA,0.006,65121928,0,2,NA,NA,0,6791,0.01,-0.02,NA,2.78,38.59,Lisasta,2011,102.2,97.3,83,76.3,93.5,4,13.06.2017,2017-12-06,2017-06-13,176
3338142,2643,556444,2017-12-06,2,SI,13882383,0,5.03,3.82,4.58,9.1,0,212,2017-12-08,NA,0.016,65125306,0,2,NA,NA,0,6791,0,-0.05,NA,0.94,46.56,Lisasta,2011,110.5,108,96.9,96.4,107.7,4,28.04.2017,2017-12-07,2017-04-28,223
3338273,30103,556488,2017-12-05,8,SI,94021796,0,3.79,4.04,4.11,8.86,0,133,2017-12-08,NA,0.02,65126025,0,1,NA,NA,0,6791,0,0,NA,0.96,43.93,Rjava,2011,88.7,91.6,91.3,94.9,88.4,2,05.05.2016,2017-12-07,2016-05-05,581
3338314,15917,555593,2017-11-28,7,SI,54004379,5.8,4.64,3.48,4.59,8.78,0,240,2017-11-29,NA,0.009,65096760,0,2,NA,NA,0,6756,0,0,NA,1.81,41.78,Lisasta,2011,92.6,94.2,94.2,92.8,90.8,4,04.06.2017,2017-11-28,2017-06-04,177
3338324,15917,555593,2017-11-28,6,SI,64004378,4.4,4.71,3.21,4.56,8.48,0,346,2017-11-29,NA,0.012,65096759,0,2,NA,NA,0,6756,0,0,NA,2.1,39.23,Lisasta,2011,84.6,81.7,103.9,72,86.3,4,07.08.2017,2017-11-28,2017-08-07,113
3338804,4344,555576,2017-11-27,7,SI,04009025,22,3.62,2.94,4.67,8.32,0,159,2017-11-28,NA,0.021,65094120,0,1,NA,NA,0,6753,-0.04,-0.14,NA,2.14,38.6,Holstein,2011,119.2,110.9,75.8,84.7,99.7,5,24.08.2017,2017-11-27,2017-08-24,95
3338812,15806,555189,2017-11-22,3,SI,74009028,13.3,4.43,3.6,4.33,8.63,0,136,2017-11-23,NA,0.021,65085541,0,2,NA,NA,0,6747,0,0,NA,1.26,43.51,Lisasta,2011,140.1,136,107.6,93.1,144.7,4,01.02.2017,2017-11-22,2017-02-01,294
3338814,2377,556297,2017-12-05,2,SI,03526486,10.6,3.99,3.56,4.57,8.84,0,177,2017-12-07,NA,0.016,65120227,0,2,NA,NA,0,6784,0.07,0.01,NA,0.96,44.88,Lisasta,2011,119.1,119,82.5,94.5,110.7,4,16.04.2017,2017-12-06,2017-04-16,234
3338815,2377,556297,2017-12-05,3,SI,23526707,5.1,5.15,4.05,4.48,9.23,0,185,2017-12-07,NA,0.029,65120228,0,2,NA,NA,0,6784,0.05,-0.08,NA,0,50.79,Lisasta,2011,100.3,96.7,88.3,90,95.8,4,15.12.2016,2017-12-06,2016-12-15,356
3338973,5629,555631,2017-11-27,9,SI,44009540,6.4,5.01,3.85,4.35,8.9,0,2299,2017-11-29,NA,0.01,65097218,0,2,NA,NA,0,6756,-0.03,-0.18,NA,0.69,44.63,Rjava,2011,106.9,106.2,111.6,98.4,110.1,4,20.02.2017,2017-11-28,2017-02-20,281
3339026,21009,555467,2017-11-23,3,SI,34008674,9.2,4.21,3.26,4.47,8.44,0,264,2017-11-27,NA,0.009,65091592,0,2,NA,NA,0,6750,0.05,-0.03,NA,1.61,40,Lisasta,2011,101,99,105.9,89.2,105,4,21.06.2017,2017-11-26,2017-06-21,158
3339755,142,556330,2017-12-06,4,SI,84009852,12,3.08,2.86,4.76,8.33,0,43,2017-12-07,NA,0.017,65122099,0,1,NA,NA,0,6791,0.04,0.03,NA,2.95,37.29,Lisasta,2011,101.7,99.4,99.7,92.5,101.8,4,03.10.2017,2017-12-06,2017-10-03,64
3339853,84370,555481,2017-11-27,1,SI,34021778,8.8,4.33,3.51,4.2,8.42,0,343,2017-11-27,NA,0.006,65091799,0,1,NA,NA,0,6750,0,0,NA,1.44,38.66,Lisasta,2011,101.1,98.4,94.9,99.2,98.7,3,15.12.2016,2017-11-26,2016-12-15,346
3339866,7019,555155,2017-11-20,6,SI,93983242,9.4,4.06,3.6,4.79,9.09,0,699,2017-11-23,NA,0.006,65085151,0,2,NA,NA,0,6747,0.05,0.03,NA,1.47,42.37,Lisasta,2011,96.1,94.6,85.3,96,91.7,4,04.08.2017,2017-11-22,2017-08-04,110
3339903,7405,555491,2017-11-24,9,SI,63524770,8.5,4.89,4.28,4.64,9.63,0,637,2017-11-27,NA,0.011,65092269,0,1,NA,NA,0,6753,-0.03,-0.15,NA,0.85,41.58,Rjava,2011,107,118.8,125.6,140.1,114.2,4,03.12.2016,2017-11-26,2016-12-03,358
3339974,4332,555341,2017-11-22,5,SI,64009940,6.6,3.15,3.58,4.46,8.75,0,554,2017-11-24,NA,0.024,65089208,0,2,NA,NA,0,6747,0,0,NA,0.48,46.08,Lisasta,2011,97.5,96.3,90.3,90.5,93.2,4,15.03.2017,2017-11-23,2017-03-15,253
3341816,7929,555416,2017-11-23,4,SI,54024009,9,3.64,2.78,4.45,7.94,0,1140,2017-11-27,NA,0.025,65091272,0,2,NA,NA,0,6750,0,0,NA,2.97,31.08,Lisasta,2011,99.2,97.1,93,95.5,94.9,5,22.10.2017,2017-11-26,2017-10-22,35
3341864,10370,555450,2017-11-23,8,SI,14010031,8.1,4.78,3.36,4.58,8.66,0,605,2017-11-27,NA,0.019,65091334,0,1,NA,NA,0,6750,0,0,NA,2,38.19,Holstein,2011,95.4,94.3,106.5,103.6,102.7,4,12.05.2017,2017-11-26,2017-05-12,198
3342474,11325,555773,2017-11-28,6,SI,94008582,12.5,3.16,3.16,4.86,8.73,0,14,2017-12-01,NA,0.02,65104228,0,2,NA,NA,0,6765,0.04,-0.01,NA,2.16,38.53,Lisasta,2011,113.2,108.2,89.5,92.3,107.2,4,20.09.2017,2017-11-30,2017-09-20,71
3342574,16291,555180,2017-11-21,5,SI,94021387,4.9,4.15,3.7,4.35,8.76,0,371,2017-11-23,NA,0.016,65085416,0,1,NA,NA,0,6747,0,0,NA,1.81,37.83,Holstein,2011,93.5,92.9,89.8,91.4,89.5,4,19.10.2016,2017-11-22,2016-10-19,399
3342880,7870,555174,2017-11-22,7,SI,33986832,16.6,4.12,3.57,4.61,8.88,0,93,2017-11-23,NA,0.013,65085304,0,1,NA,NA,0,6747,-0.02,-0.08,NA,1.31,44.07,Holstein,2011,105.5,107.1,100.8,100.6,108.4,4,22.06.2017,2017-11-22,2017-06-22,153
3342895,6299,555415,2017-11-23,2,SI,64021957,12.5,3.41,2.88,3.91,7.5,0,1037,2017-11-27,NA,0.024,65091260,0,2,NA,NA,0,6750,0.04,-0.06,NA,3.11,32.21,Holstein,2011,112.5,105.2,70,76.3,92,4,22.06.2017,2017-11-26,2017-06-22,157
3343200,6753,555198,2017-11-23,15,SI,14008968,12.6,4.9,4.18,4.68,9.56,0,11,2017-11-23,NA,0.008,65085705,0,1,NA,NA,0,6747,0.05,-0.05,NA,0.57,47.27,Holstein,2011,97.3,114,144.5,135.4,132.8,4,23.07.2017,2017-11-22,2017-07-23,122
3343201,6753,555198,2017-11-23,16,SI,04008969,12.4,3.1,2.77,4.61,8.09,0,19,2017-11-23,NA,0.014,65085706,0,1,NA,NA,0,6747,-0.09,-0.13,NA,2.35,38.6,Holstein,2011,123.6,123.3,91,104.8,112,3,29.09.2017,2017-11-22,2017-09-29,54
3343241,8976,555157,2017-11-17,7,SI,44021959,8,2.8,2.98,4.82,8.5,0,30,2017-11-23,NA,0.022,65085191,0,2,NA,NA,0,6747,0,0,NA,1.58,42.31,Rjava,2011,100.1,97.9,66,80.4,88.6,4,30.09.2017,2017-11-22,2017-09-30,53
3343343,9951,555227,2017-11-22,7,SI,34021338,7,5,4.08,4.48,9.28,0,354,2017-11-24,NA,0.01,65088054,0,2,NA,NA,0,6747,0,0,NA,0.4,48.42,Holstein,2011,97.7,109,103.8,124.4,103.4,4,10.03.2017,2017-11-23,2017-03-10,258
3343346,9951,555227,2017-11-22,6,SI,54021336,14.2,5.3,3.85,4.55,9.11,0,197,2017-11-24,NA,0.003,65088053,0,2,NA,NA,0,6747,0,0,NA,1.5,43.42,Holstein,2011,92.3,103.6,129.4,124.9,119,4,15.06.2017,2017-11-23,2017-06-15,161
3343583,15948,555742,2017-11-24,7,SI,93989750,12,5.07,4.32,4.46,9.48,0,137,2017-11-30,NA,0.029,65102332,0,1,NA,NA,0,6765,0,0,NA,0.87,47.17,Holstein,2011,87.4,96.4,106.4,113.1,93.7,4,12.03.2017,2017-11-29,2017-03-12,262
3344197,32066,556205,2017-12-05,7,SI,94037162,11.5,4.39,4.3,4.57,9.58,0,338,2017-12-06,NA,0.024,65116894,0,2,NA,NA,0,6784,-0.04,-0.11,NA,0.64,47.08,Lisasta,2011,121.1,127.6,89.1,113.2,114.9,4,25.07.2017,2017-12-05,2017-07-25,133
3344394,16062,555861,2017-11-29,4,SI,93984896,7.2,3.96,4.15,4.21,9.07,0,236,2017-12-01,NA,0.022,65105764,0,2,NA,NA,0,6765,0,0,NA,0.9,43.92,Holstein,2011,87,95.1,105.6,120,91.9,4,03.03.2017,2017-11-30,2017-03-03,272
3344397,16062,555861,2017-11-29,3,SI,03984895,16,4.3,3.78,4.54,9.04,0,758,2017-12-01,NA,0.016,65105763,0,2,NA,NA,0,6765,0,0,NA,0.95,44.93,Holstein,2011,90.8,97.8,96.1,115.7,91.2,4,22.11.2017,2017-11-30,2017-11-22,8
3344432,9301,555575,2017-11-24,4,SI,44007184,5.3,5.69,3.81,4.75,9.27,0,115,2017-11-28,NA,0.011,65094110,0,2,NA,NA,0,6753,0,0,NA,1.28,43.27,Lisasta,2011,88.1,88.2,137.7,98.7,101.7,4,03.02.2017,2017-11-27,2017-02-03,297
3344443,11149,556061,2017-12-01,15,SI,44007146,6.4,5.47,4.22,4.43,9.36,0,272,2017-12-05,NA,0.027,65113028,0,2,NA,NA,0,6780,0.03,-0.07,NA,0.44,47.94,Lisasta,2011,117.5,116.5,93.6,94,112.6,4,12.02.2017,2017-12-04,2017-02-12,295
3344518,5448,555538,2017-11-26,21,SI,34010431,10.9,4.59,3.83,4.44,8.99,0,207,2017-11-28,NA,0.013,65093821,0,1,NA,NA,0,6753,0.01,-0.08,NA,1.18,41.81,Holstein,2011,107.3,109.5,98,105.9,102.6,4,03.08.2017,2017-11-27,2017-08-03,116
3345144,142,556330,2017-12-06,5,SI,04024664,10,4.4,3.1,4.47,8.28,0,60,2017-12-07,NA,0.016,65122100,0,1,NA,NA,0,6791,0.08,0.06,NA,2.5,39.61,Lisasta,2011,106.2,95.3,84,66.9,97.9,4,28.05.2017,2017-12-06,2017-05-28,192
3345311,16291,555180,2017-11-21,6,SI,14021392,10,4.19,3.16,4.28,8.15,0,843,2017-11-23,NA,0.029,65085417,0,1,NA,NA,0,6747,0,0,NA,2.25,38.71,Holstein,2011,104.1,105.3,91.7,91.6,103.3,2,18.05.2017,2017-11-22,2017-05-18,188
3345336,5407,556208,2017-12-02,5,SI,64021799,11,5.97,4.32,4.55,9.58,0,2486,2017-12-06,NA,0.024,65116948,0,2,NA,NA,0,6784,0,0,NA,0.26,50.07,Holstein,2011,109.2,100.2,88.7,83.2,96.8,3,03.10.2016,2017-12-05,2016-10-03,428
3345358,2555,555953,2017-12-01,2,SI,54023895,11.4,5.51,4.19,4.25,9.15,0,428,2017-12-04,NA,0.021,65107690,0,1,NA,NA,0,6771,0,0,NA,0.28,47.49,Lisasta,2011,104.7,103.4,115.8,104.9,110.2,4,01.03.2017,2017-12-03,2017-03-01,277
3345380,13077,556502,2017-12-07,6,SI,44021942,0,3.62,3.33,4.5,8.54,0,185,2017-12-08,NA,0.007,65126303,0,2,NA,NA,0,6795,0,0,NA,1.6,43.57,Lisasta,2011,114.2,107.5,83.7,88.5,103.6,4,23.03.2017,2017-12-07,2017-03-23,259
3345393,3000,555688,2017-11-28,7,SI,44022132,3.8,5.26,3.59,4.58,8.88,0,284,2017-11-30,NA,0.008,65100657,0,2,NA,NA,0,6762,-0.05,-0.1,NA,1.09,43.09,Rjava,2011,100.8,105,130.7,104.3,115.2,3,12.08.2017,2017-11-29,2017-08-12,109
3345407,8060,556092,2017-12-04,11,SI,84020545,4,4.33,4.17,4.03,8.91,0,313,2017-12-06,NA,0.016,65115645,0,1,NA,NA,0,6780,0.05,-0.09,NA,1.71,37.35,Rjava,2011,128.4,132.4,115.5,113,135.7,3,06.12.2016,2017-12-05,2016-12-06,364
3345411,8100,555159,2017-11-21,1,SI,63510849,14.2,4.3,3.89,4.37,8.96,0,56,2017-11-23,NA,0.013,65085210,0,2,NA,NA,0,6747,0,0,NA,1.14,43.89,Holstein,2011,118.4,119.4,91.8,105.9,112.6,4,18.03.2017,2017-11-22,2017-03-18,249
3345485,7133,555837,2017-11-30,3,SI,74010901,9,3.98,3.38,4.57,8.66,0,127,2017-12-01,NA,0.034,65105383,0,1,NA,NA,0,6765,0,0,NA,2.1,38.12,Lisasta,2011,112.4,115,90.2,104.1,109.7,4,20.07.2017,2017-11-30,2017-07-20,133
3345569,24462,556497,2017-12-07,9,SI,44010526,0,5.23,2.57,4.58,7.86,0,705,2017-12-08,NA,0.025,65126185,0,2,NA,NA,0,6795,0,0,NA,3.79,30.22,Holstein,2011,99.3,100.2,74.9,93.5,86.3,3,12.07.2016,2017-12-07,2016-07-12,513
3345611,2092,555402,2017-11-24,4,SI,04020969,11.2,5.13,4.13,4.59,9.43,0,465,2017-11-27,NA,0.022,65091037,0,2,NA,NA,0,6750,0,0,NA,0,51.05,Rjava,2011,118,124.6,115.5,124.2,128.9,4,25.05.2017,2017-11-26,2017-05-25,185
3346075,900032,555993,2017-11-30,30,SI,04001034,17.6,3.42,3.55,4.3,8.57,0,415,2017-12-05,NA,0.025,65110754,0,1,NA,NA,0,6775,0.01,-0.02,NA,2.2,38.5,Holstein,2011,122.7,125.5,92.2,101.9,117.3,3,18.05.2017,2017-12-04,2017-05-18,200
3346744,12940,555280,2017-11-22,4,SI,83520523,6,4.45,3.17,4.36,8.23,0,451,2017-11-24,NA,0.017,65088380,0,1,NA,NA,0,6747,0.17,0.06,NA,2.27,37.21,Holstein,2011,105.6,100.1,91,87.6,97.8,4,14.01.2017,2017-11-23,2017-01-14,313
3347284,7821,555787,2017-11-30,5,SI,34021125,3.4,5.12,4.55,3.66,8.92,0,610,2017-12-01,NA,0.016,65104629,0,1,NA,NA,0,6765,0,0,NA,2.01,37.14,Holstein,2011,92.8,95.7,104.6,89.8,98.5,3,18.09.2016,2017-11-30,2016-09-18,438
3347397,12940,555280,2017-11-22,5,SI,63520525,11.6,4.41,3.23,4.64,8.58,0,472,2017-11-24,NA,0.021,65088381,0,1,NA,NA,0,6747,0.04,-0.05,NA,2.1,37.83,Rjava,2011,115,107.4,91.8,85.6,108.7,4,10.04.2017,2017-11-23,2017-04-10,227
3347789,1089,555689,2017-11-29,6,SI,34022133,4.8,3.93,4.34,4.32,9.38,0,2126,2017-11-30,NA,0.013,65100668,0,1,NA,NA,0,6762,0.02,-0.1,NA,1.26,38.14,Holstein,2011,106.5,118.4,98.6,123.2,105.4,3,17.04.2017,2017-11-29,2017-04-17,226
3347792,7591,556082,2017-12-01,6,SI,14022135,9.4,4.22,4.26,4.67,9.64,0,427,2017-12-06,NA,0.044,65115460,0,2,NA,NA,0,6780,0,0,NA,0.15,47.02,Rjava,2011,112.8,114.1,92.1,103.5,110,3,12.02.2017,2017-12-05,2017-02-12,296
3348100,900032,555993,2017-11-30,28,SI,04001027,9,3.63,4.39,4.57,9.66,0,69,2017-12-05,NA,0.013,65110752,0,1,NA,NA,0,6775,0.03,-0.06,NA,0,49.86,Holstein,2011,108,116,102.6,117,110.7,3,09.07.2016,2017-12-04,2016-07-09,513
3348483,7815,555475,2017-11-24,7,SI,84004912,15.6,4.74,4.02,4.58,9.3,0,396,2017-11-27,NA,0.026,65091706,0,2,NA,NA,0,6750,0.03,-0.12,NA,0.04,47.23,Holstein,2011,139.5,139.1,100.2,97.4,140.6,3,21.10.2016,2017-11-26,2016-10-21,401
3348504,1606,555854,2017-12-01,4,SI,54009563,9.6,3.92,3.25,4.75,8.7,0,41,2017-12-01,NA,0.016,65105565,0,1,NA,NA,0,6765,0,0,NA,1.72,43.02,Lisasta,2011,97.4,100.3,125,107,106.6,2,14.10.2017,2017-11-30,2017-10-14,47
3348611,30031,556085,2017-12-05,6,SI,94021583,6.5,4.33,3.48,4.36,8.55,0,207,2017-12-06,NA,0.014,65115501,0,1,NA,NA,0,6780,0,0,NA,2.84,35.33,Holstein,2011,102.7,104.3,82.5,101.6,91.9,3,30.05.2017,2017-12-05,2017-05-30,189
3349041,8594,556382,2017-12-06,19,SI,34009060,0,5.82,4.24,4.24,9.19,0,701,2017-12-08,NA,0.03,65124657,0,2,NA,NA,0,6791,0.02,-0.12,NA,1.79,39.67,Holstein,2011,112.1,124.9,103,119.9,115.7,4,02.12.2016,2017-12-07,2016-12-02,370
3349043,8594,556382,2017-12-06,18,SI,84009058,0,3.33,3.11,4.54,8.36,0,760,2017-12-08,NA,0.027,65124656,0,2,NA,NA,0,6791,-0.03,-0.07,NA,2.09,40.47,Holstein,2011,96.2,104.9,86.6,119.4,87.1,5,26.10.2017,2017-12-07,2017-10-26,42
3349045,8594,556382,2017-12-06,17,SI,94009057,0,4.21,4.02,4.6,9.33,0,172,2017-12-08,NA,0.024,65124655,0,2,NA,NA,0,6791,0.03,-0.09,NA,1.33,42.11,Holstein,2011,126.9,128.2,89.9,99.9,114.5,4,30.12.2016,2017-12-07,2016-12-30,342
3349050,582,555535,2017-11-27,17,SI,44008752,6.7,5.9,4.74,5.02,10.47,0,600,2017-11-28,NA,0.015,65093735,0,2,NA,NA,0,6753,0.02,-0.16,NA,0,49.4,Holstein,2011,104.6,116.5,133.9,128.9,128.9,3,07.09.2016,2017-11-27,2016-09-07,446
3349989,7225,556257,2017-12-06,20,SI,04008024,8.8,4.44,4.27,4.17,9.15,0,3953,2017-12-07,NA,0.013,65120027,0,2,NA,NA,0,6784,0,0,NA,1.54,40.89,Holstein,2011,113.2,113.6,82.8,101,92.9,3,18.08.2016,2017-12-06,2016-08-18,475
3350001,7225,556257,2017-12-06,21,SI,14008061,6.8,5.15,3.99,4.61,9.31,0,526,2017-12-07,NA,0.021,65120028,0,2,NA,NA,0,6784,0,0,NA,0.85,45.79,Holstein,2011,85.2,88.4,111.7,118.6,89.6,3,16.07.2016,2017-12-06,2016-07-16,508
3350009,2264,556167,2017-12-06,2,SI,24052605,12.7,4.48,3.65,4.71,9.07,0,117,2017-12-06,NA,0.026,65116318,0,1,NA,NA,0,6780,0,0,NA,1.28,45.04,Rjava,2011,119.5,111.7,93.6,82.2,114,3,22.02.2017,2017-12-05,2017-02-22,286
3350050,979,556226,2017-12-05,7,SI,54008995,11.4,3.94,3.56,4.39,8.66,0,114,2017-12-07,NA,0.022,65119373,0,2,NA,NA,0,6784,0.05,-0.03,NA,1.35,43.88,Lisasta,2011,128.9,119.3,82.7,79.7,115.2,4,02.03.2017,2017-12-06,2017-03-02,279
3350216,2367,556317,2017-12-05,5,SI,54007688,8.1,4.75,3.42,4.47,8.6,0,659,2017-12-07,NA,0.018,65121916,0,2,NA,NA,0,6791,0,0,NA,1.98,42.5,Lisasta,2011,91.2,89,111.5,93.3,93.4,4,14.08.2017,2017-12-06,2017-08-14,114
3350382,178,556477,2017-12-06,20,SI,34024719,0,5.91,3.53,4.65,8.89,0,23,2017-12-08,NA,0.039,65125813,0,2,NA,NA,0,6791,0.02,-0.07,NA,0.91,49.26,Rjava,2011,116.8,117.8,127.6,109,128.7,4,19.09.2017,2017-12-07,2017-09-19,79
3350385,178,556477,2017-12-06,19,SI,54024717,0,5.14,4.44,4.44,9.6,0,298,2017-12-08,NA,0.008,65125812,0,2,NA,NA,0,6791,-0.02,-0.14,NA,0,61.23,Rjava,2011,132.2,134.4,112.6,108.2,139,4,01.12.2017,2017-12-07,2017-12-01,6
3350920,31103,555645,2017-11-27,7,SI,54052516,13.2,3.6,3.24,4.85,8.8,0,10,2017-11-29,NA,0.019,65097425,0,2,NA,NA,0,6756,0,0,NA,1.14,43.76,Lisasta,2011,111.7,113.2,103,97.9,111.7,4,03.11.2017,2017-11-28,2017-11-03,25
3351030,4969,556066,2017-12-05,2,SI,64006758,10,8.06,3.63,4.34,8.68,0,441,2017-12-06,NA,0.013,65115160,0,1,NA,NA,0,6780,0,0,NA,0,59.13,Lisasta,2011,107.6,111.2,115.8,105.9,115.5,4,27.11.2017,2017-12-05,2017-11-27,8
3351102,16310,556173,2017-12-06,6,SI,04052061,6.3,4.27,4.05,3.86,8.62,0,784,2017-12-06,NA,0.004,65116384,0,1,NA,NA,0,6780,0,0,NA,2.86,30.87,Lisasta,2011,117.4,116.5,84.9,98.3,109.5,2,13.11.2016,2017-12-05,2016-11-13,387
3351185,3907,555887,2017-12-01,5,SI,84035525,3,5.2,3.89,4.1,8.7,0,1374,2017-12-01,NA,0.016,65106344,0,1,NA,NA,0,6771,0,0,NA,1.26,42,Lisasta,2011,96.1,94,96.7,103.4,95.4,3,30.12.2016,2017-11-30,2016-12-30,335
3351199,1928,555974,2017-11-29,4,SI,74009073,9.2,6.97,4.34,4.74,9.79,0,205,2017-12-04,NA,0.013,65110064,0,1,NA,NA,0,6775,0.02,-0.05,NA,0,57.79,Lisasta,2011,103.9,108,90.9,107.1,98.3,4,11.06.2017,2017-12-03,2017-06-11,175
3351381,31629,556352,2017-12-06,23,SI,44024127,0,3.79,3.37,4.77,8.85,0,224,2017-12-08,NA,0.007,65122551,0,2,NA,NA,0,6791,0,0,NA,1.54,41.71,Rjava,2011,97,100,86.2,110.7,92.2,4,07.09.2017,2017-12-07,2017-09-07,91
3351389,29184,555364,2017-11-24,8,SI,34010228,0,4.7,3.53,4.59,8.83,0,132,2017-11-24,NA,0.013,65089655,0,2,NA,NA,0,6750,0.01,-0.09,NA,1.79,39.38,Lisasta,2011,91.6,93.6,97.2,94.7,92.6,4,12.10.2017,2017-11-23,2017-10-12,42
3351426,9184,556394,2017-12-07,6,SI,94010909,0,5.1,3.68,4.78,9.16,0,936,2017-12-08,NA,0.002,65124809,0,1,NA,NA,0,6791,0.05,-0.06,NA,1.94,42.42,Holstein,2011,109.6,110.3,103.7,97.7,112.2,2,12.06.2016,2017-12-07,2016-06-12,543
3351442,31629,556352,2017-12-06,21,SI,84024123,0,4.41,3.47,4.64,8.83,0,82,2017-12-08,NA,0.01,65122549,0,2,NA,NA,0,6791,0,0,NA,2.53,37.3,Holstein,2011,92.6,94.3,96.1,98.1,94.9,4,13.05.2017,2017-12-07,2017-05-13,208
3351995,31797,555600,2017-11-28,17,SI,84024233,14.5,3.32,3.1,4.87,8.68,0,12,2017-11-29,NA,0.024,65096872,0,1,NA,NA,0,6756,0,0,NA,0.38,49.04,Lisasta,2011,103.2,106.4,117.1,113.6,112.1,4,08.11.2017,2017-11-28,2017-11-08,20
3352032,13294,555175,2017-11-21,9,SI,94009844,7,4.49,3.45,4.64,8.79,0,39,2017-11-23,NA,0.028,65085334,0,2,NA,NA,0,6747,0,0,NA,1.54,44.35,Holstein,2011,94.8,93,96.8,88.9,95.8,2,07.02.2017,2017-11-22,2017-02-07,288
3352314,3852,556166,2017-12-04,8,SI,24052265,10,4.25,4.27,4.17,9.16,0,2205,2017-12-06,NA,0.006,65116298,0,2,NA,NA,0,6780,0,0,NA,0.78,45.44,Rjava,2011,119,124,99.5,111.8,117,4,25.11.2017,2017-12-05,2017-11-25,10
3352718,25869,555856,2017-11-30,27,SI,14010550,5,2.83,3.19,4.63,8.53,0,706,2017-12-01,NA,0.018,65105614,0,2,NA,NA,0,6765,0.09,0.01,NA,3.41,29.67,Lisasta,2011,105.9,105.8,89.9,104.7,101.7,4,17.08.2017,2017-11-30,2017-08-17,105
3353311,4171,556035,2017-12-05,9,SI,34009668,9.6,2.97,3.73,4.28,8.72,0,34,2017-12-05,NA,0.016,65111746,0,1,NA,NA,0,6775,0.08,0.02,NA,0.42,48.7,Lisasta,2011,110.8,110.4,77.3,97.2,98.8,4,30.03.2017,2017-12-04,2017-03-30,249
3353793,7480,556345,2017-12-06,17,SI,64038056,0,4.34,3.93,4.65,9.29,0,72,2017-12-08,NA,0.014,65122393,0,2,NA,NA,0,6791,0,0,NA,0.63,47.76,Rjava,2011,104,102.5,102.2,121.4,92.3,4,24.07.2017,2017-12-07,2017-07-24,136
3353800,7480,556345,2017-12-06,19,SI,04038069,0,5.24,4.19,4.53,9.43,0,836,2017-12-08,NA,0.018,65122395,0,2,NA,NA,0,6791,0,0,NA,0.17,51.95,Rjava,2011,113.5,126.6,134.3,140.3,133.9,3,19.04.2017,2017-12-07,2017-04-19,232
3354020,16300,556236,2017-12-04,20,SI,54009271,28.5,5.43,4.13,4.39,9.23,0,207,2017-12-07,NA,0.021,65119525,0,1,NA,NA,0,6784,0,0,NA,0.72,47.52,Holstein,2011,101.2,102.2,105,101.4,106.6,3,18.02.2017,2017-12-06,2017-02-18,291
3355213,5359,556489,2017-12-06,8,SI,84009955,0,5.21,3.27,4.42,8.41,0,88,2017-12-08,NA,0.017,65126035,0,2,NA,NA,0,6791,0,0,NA,1.81,42.58,Rjava,2011,117.8,109.7,72.4,88.1,103.2,4,02.10.2017,2017-12-07,2017-10-02,66
3355432,16292,556326,2017-12-06,5,SI,24058089,7.4,4.5,4.24,4.18,9.13,0,1057,2017-12-07,NA,0.01,65122021,0,1,NA,NA,0,6791,0,0,NA,0.88,46.05,Holstein,2011,103.2,105.3,100.7,104.1,105.1,3,15.10.2016,2017-12-06,2016-10-15,417
3356172,1393,556210,2017-12-06,5,SI,24024480,12.8,4.3,3.9,4.64,9.25,0,87,2017-12-06,NA,0.02,65116995,0,1,NA,NA,0,6784,-0.01,-0.07,NA,0.53,48.8,Holstein,2011,100.9,103.5,95,104.4,95.9,2,02.01.2017,2017-12-05,2017-01-02,337
3356174,1393,556210,2017-12-06,4,SI,64024479,6,7.09,4.36,4.14,9.22,0,204,2017-12-06,NA,0.03,65116994,0,1,NA,NA,0,6784,0.13,-0.01,NA,0.35,51.9,Holstein,2011,85.6,94.6,125.1,123.8,102.7,3,05.04.2017,2017-12-05,2017-04-05,244
3356244,11314,555291,2017-11-24,1,SI,34006067,4.6,5.29,2.36,4.46,7.53,0,532,2017-11-24,NA,0.011,65088570,0,2,NA,NA,0,6747,0,0,NA,2.05,38.41,Lisasta,2011,97.2,94.9,84.1,73.7,91.3,4,06.10.2017,2017-11-23,2017-10-06,48
3356253,7125,555914,2017-12-01,7,SI,44011558,8.9,3.53,3.25,4.8,8.76,0,209,2017-12-04,NA,0.012,65107329,0,2,NA,NA,0,6771,0.1,0.02,NA,2.33,35.62,Lisasta,2011,97.2,95.8,85.6,96.3,91.1,5,23.08.2017,2017-12-03,2017-08-23,102
3356329,6053,555590,2017-11-27,8,SI,14004397,13,4.47,3.1,4.89,8.7,0,150,2017-11-28,NA,0.017,65094359,0,1,NA,NA,0,6756,0.04,0.01,NA,1.8,40.98,Lisasta,2011,102.4,103.3,116.7,91.6,106.9,2,14.09.2017,2017-11-27,2017-09-14,74
